U$1, 327.22, 13.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$16, 311.69, 16.10, 0.00, 3512-LED, 3512-LED
U$160, 65.30, 13.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$162, 65.29, 16.10, 0.00, 3512-LED, 3512-LED
U$163, 65.31, 9.90, 180.00, 3512-LED, 3512-LED
U$1631, 327.22, 58.00, 90.00, 4-PIN-RAY-WU-13.5MM, 4PIN-RAY-WU-EDGE-CONNECTOR
U$1632, 320.50, 56.40, 180.00, 0603-1U-CAP, 0603
U$1633, 320.50, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1635, 320.49, 61.10, 0.00, 3512-LED, 3512-LED
U$1636, 320.51, 54.90, 180.00, 3512-LED, 3512-LED
U$1637, 311.70, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1639, 311.69, 61.10, 0.00, 3512-LED, 3512-LED
U$1640, 311.71, 54.90, 180.00, 3512-LED, 3512-LED
U$1641, 302.90, 56.40, 180.00, 0603-1U-CAP, 0603
U$1642, 302.90, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1644, 302.89, 61.10, 0.00, 3512-LED, 3512-LED
U$1645, 302.91, 54.90, 180.00, 3512-LED, 3512-LED
U$1646, 294.10, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1648, 294.09, 61.10, 0.00, 3512-LED, 3512-LED
U$1649, 294.11, 54.90, 180.00, 3512-LED, 3512-LED
U$1650, 285.30, 56.40, 180.00, 0603-1U-CAP, 0603
U$1651, 285.30, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1653, 285.29, 61.10, 0.00, 3512-LED, 3512-LED
U$1654, 285.31, 54.90, 180.00, 3512-LED, 3512-LED
U$1655, 276.50, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1657, 276.49, 61.10, 0.00, 3512-LED, 3512-LED
U$1658, 276.51, 54.90, 180.00, 3512-LED, 3512-LED
U$1659, 267.70, 56.40, 180.00, 0603-1U-CAP, 0603
U$1660, 267.70, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1662, 267.69, 61.10, 0.00, 3512-LED, 3512-LED
U$1663, 267.71, 54.90, 180.00, 3512-LED, 3512-LED
U$1664, 258.90, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1666, 258.89, 61.10, 0.00, 3512-LED, 3512-LED
U$1667, 258.91, 54.90, 180.00, 3512-LED, 3512-LED
U$1668, 250.10, 56.40, 180.00, 0603-1U-CAP, 0603
U$1669, 250.10, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1671, 250.09, 61.10, 0.00, 3512-LED, 3512-LED
U$1672, 250.11, 54.90, 180.00, 3512-LED, 3512-LED
U$1673, 241.30, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1675, 241.29, 61.10, 0.00, 3512-LED, 3512-LED
U$1676, 241.31, 54.90, 180.00, 3512-LED, 3512-LED
U$1677, 232.50, 56.40, 180.00, 0603-1U-CAP, 0603
U$1678, 232.50, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1680, 232.49, 61.10, 0.00, 3512-LED, 3512-LED
U$1681, 232.51, 54.90, 180.00, 3512-LED, 3512-LED
U$1682, 223.70, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1684, 223.69, 61.10, 0.00, 3512-LED, 3512-LED
U$1685, 223.71, 54.90, 180.00, 3512-LED, 3512-LED
U$1686, 214.90, 56.40, 180.00, 0603-1U-CAP, 0603
U$1687, 214.90, 58.00, 180.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$1689, 214.89, 61.10, 0.00, 3512-LED, 3512-LED
U$1690, 214.91, 54.90, 180.00, 3512-LED, 3512-LED
