C1, 1.10, -59.16, 180.00, 22u, 0603
U$602, 163.61, 31.64, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$603, 165.80, 39.62, 300.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$604, 166.94, 26.14, 300.00, 0603-1U-CAP, 0603
U$605, 169.37, 27.54, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$606, 176.19, 31.48, 255.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$62, -6.84, -3.95, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$625, 128.50, -3.95, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$626, 135.32, -7.88, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$627, 142.12, -11.81, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$628, 143.69, -20.11, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$629, 145.87, -28.08, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$63, -13.66, -7.88, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$630, 150.11, -9.00, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$631, 146.30, -14.22, 240.00, 0603-1U-CAP, 0603
U$632, 158.12, -6.91, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$633, 148.94, -15.75, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$634, 155.76, -19.68, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$635, 162.56, -23.61, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$636, 163.62, -31.61, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$637, 165.82, -39.60, 150.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$638, 170.04, -20.51, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$639, 178.05, -18.41, 240.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$64, -20.45, -11.81, 75.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$640, 166.94, -26.14, 240.00, 0603-1U-CAP, 0603
U$641, 169.37, -27.54, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$642, 176.19, -31.48, 195.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
U$65, -28.43, -9.02, 30.00, 1515-LED-SMT550-NOSILK, 1515-LED-SMT550-NOSILK
